Date,Nifty50 Index Value,Nifty SmallCap 250 Index
2006-02-20 00:00:00,3006.0,1594.0
2006-02-21 00:00:00,3036.0,1609.0
2006-02-22 00:00:00,3051.0,1603.0
2006-02-23 00:00:00,3062.0,1595.0
2006-02-24 00:00:00,3050.0,1594.0
2006-02-27 00:00:00,3067.0,1603.0
2006-02-28 00:00:00,3075.0,1601.0
2006-03-01 00:00:00,3123.0,1627.0
2006-03-02 00:00:00,3151.0,1633.0
2006-03-03 00:00:00,3147.0,1642.0
2006-03-06 00:00:00,3190.0,1664.0
2006-03-07 00:00:00,3183.0,1676.0
2006-03-08 00:00:00,3117.0,1657.0
2006-03-09 00:00:00,3129.0,1663.0
2006-03-10 00:00:00,3184.0,1684.0
2006-03-13 00:00:00,3203.0,1692.0
2006-03-14 00:00:00,3195.0,1685.0
2006-03-16 00:00:00,3227.0,1687.0
2006-03-17 00:00:00,3234.0,1676.0
2006-03-20 00:00:00,3266.0,1688.0
2006-03-21 00:00:00,3262.0,1685.0
2006-03-22 00:00:00,3240.0,1671.0
2006-03-23 00:00:00,3247.0,1673.0
2006-03-24 00:00:00,3280.0,1683.0
2006-03-27 00:00:00,3322.0,1703.0
2006-03-28 00:00:00,3325.0,1693.0
2006-03-29 00:00:00,3354.0,1715.0
2006-03-30 00:00:00,3419.0,1737.0
2006-03-31 00:00:00,3403.0,1762.0
2006-04-03 00:00:00,3473.0,1817.0
2006-04-04 00:00:00,3483.0,1832.0
2006-04-05 00:00:00,3511.0,1859.0
2006-04-07 00:00:00,3455.0,1837.0
2006-04-10 00:00:00,3478.0,1856.0
2006-04-12 00:00:00,3380.0,1833.0
2006-04-13 00:00:00,3346.0,1794.0
2006-04-17 00:00:00,3425.0,1830.0
2006-04-18 00:00:00,3518.0,1851.0
2006-04-19 00:00:00,3536.0,1861.0
2006-04-20 00:00:00,3574.0,1874.0
2006-04-21 00:00:00,3573.0,1877.0
2006-04-24 00:00:00,3549.0,1899.0
2006-04-25 00:00:00,3463.0,1886.0
2006-04-26 00:00:00,3556.0,1923.0
2006-04-27 00:00:00,3508.0,1940.0
2006-04-28 00:00:00,3508.0,1925.0
2006-04-29 00:00:00,3558.0,1977.0
2006-05-02 00:00:00,3605.0,2001.0
2006-05-03 00:00:00,3634.0,2012.0
2006-05-04 00:00:00,3648.0,2018.0
2006-05-05 00:00:00,3664.0,2027.0
2006-05-08 00:00:00,3693.0,2051.0
2006-05-09 00:00:00,3721.0,2065.0
2006-05-10 00:00:00,3754.0,2095.0
2006-05-11 00:00:00,3701.0,2086.0
2006-05-12 00:00:00,3650.0,2082.0
2006-05-15 00:00:00,3503.0,2028.0
2006-05-16 00:00:00,3523.0,1997.0
2006-05-17 00:00:00,3635.0,2073.0
2006-05-18 00:00:00,3389.0,1929.0
2006-05-19 00:00:00,3247.0,1854.0
2006-05-22 00:00:00,3081.0,1725.0
2006-05-23 00:00:00,3199.0,1793.0
2006-05-24 00:00:00,3116.0,1804.0
2006-05-25 00:00:00,3178.0,1801.0
2006-05-26 00:00:00,3210.0,1845.0
2006-05-29 00:00:00,3215.0,1864.0
2006-05-30 00:00:00,3185.0,1870.0
2006-05-31 00:00:00,3071.0,1815.0
2006-06-01 00:00:00,2962.0,1771.0
2006-06-02 00:00:00,3091.0,1740.0
2006-06-05 00:00:00,3017.0,1707.0
2006-06-06 00:00:00,2937.0,1644.0
2006-06-07 00:00:00,2860.0,1531.0
2006-06-08 00:00:00,2724.0,1402.0
2006-06-09 00:00:00,2866.0,1469.0
2006-06-12 00:00:00,2777.0,1438.0
2006-06-13 00:00:00,2663.0,1353.0
2006-06-14 00:00:00,2633.0,1305.0
2006-06-15 00:00:00,2799.0,1356.0
2006-06-16 00:00:00,2890.0,1416.0
2006-06-19 00:00:00,2917.0,1454.0
2006-06-20 00:00:00,2861.0,1476.0
2006-06-21 00:00:00,2923.0,1525.0
2006-06-22 00:00:00,2995.0,1569.0
2006-06-23 00:00:00,3043.0,1582.0
2006-06-25 00:00:00,3050.0,1604.0
2006-06-26 00:00:00,2943.0,1549.0
2006-06-27 00:00:00,2982.0,1526.0
2006-06-28 00:00:00,2981.0,1513.0
2006-06-29 00:00:00,2998.0,1518.0
2006-06-30 00:00:00,3128.0,1565.0
2006-07-03 00:00:00,3151.0,1570.0
2006-07-04 00:00:00,3139.0,1563.0
2006-07-05 00:00:00,3197.0,1573.0
2006-07-06 00:00:00,3156.0,1565.0
2006-07-07 00:00:00,3076.0,1542.0
2006-07-10 00:00:00,3142.0,1543.0
2006-07-11 00:00:00,3116.0,1548.0
2006-07-12 00:00:00,3196.0,1559.0
2006-07-13 00:00:00,3169.0,1561.0
2006-07-14 00:00:00,3123.0,1555.0
2006-07-17 00:00:00,3008.0,1522.0
2006-07-18 00:00:00,2994.0,1495.0
2006-07-19 00:00:00,2933.0,1444.0
2006-07-20 00:00:00,3023.0,1465.0
2006-07-21 00:00:00,2945.0,1429.0
2006-07-24 00:00:00,2986.0,1416.0
2006-07-25 00:00:00,3041.0,1445.0
2006-07-26 00:00:00,3110.0,1475.0
2006-07-27 00:00:00,3156.0,1518.0
2006-07-28 00:00:00,3131.0,1532.0
2006-07-31 00:00:00,3143.0,1546.0
2006-08-01 00:00:00,3148.0,1537.0
2006-08-02 00:00:00,3182.0,1554.0
2006-08-03 00:00:00,3190.0,1570.0
2006-08-04 00:00:00,3177.0,1563.0
2006-08-07 00:00:00,3151.0,1564.0
2006-08-08 00:00:00,3212.0,1581.0
2006-08-09 00:00:00,3255.0,1605.0
2006-08-10 00:00:00,3260.0,1629.0
2006-08-11 00:00:00,3274.0,1666.0
2006-08-14 00:00:00,3313.0,1703.0
2006-08-16 00:00:00,3356.0,1731.0
2006-08-17 00:00:00,3354.0,1710.0
2006-08-18 00:00:00,3357.0,1724.0
2006-08-21 00:00:00,3366.0,1737.0
2006-08-22 00:00:00,3365.0,1739.0
2006-08-23 00:00:00,3336.0,1721.0
2006-08-24 00:00:00,3370.0,1722.0
2006-08-25 00:00:00,3386.0,1738.0
2006-08-28 00:00:00,3401.0,1743.0
2006-08-29 00:00:00,3426.0,1746.0
2006-08-30 00:00:00,3430.0,1736.0
2006-08-31 00:00:00,3414.0,1715.0
2006-09-01 00:00:00,3435.0,1725.0
2006-09-04 00:00:00,3477.0,1745.0
2006-09-05 00:00:00,3474.0,1753.0
2006-09-06 00:00:00,3477.0,1774.0
2006-09-07 00:00:00,3455.0,1771.0
2006-09-08 00:00:00,3471.0,1784.0
2006-09-11 00:00:00,3366.0,1735.0
2006-09-12 00:00:00,3390.0,1743.0
2006-09-13 00:00:00,3455.0,1775.0
2006-09-14 00:00:00,3472.0,1781.0
2006-09-15 00:00:00,3479.0,1785.0
2006-09-18 00:00:00,3493.0,1796.0
2006-09-19 00:00:00,3457.0,1780.0
2006-09-20 00:00:00,3503.0,1779.0
2006-09-21 00:00:00,3553.0,1794.0
2006-09-22 00:00:00,3544.0,1785.0
2006-09-25 00:00:00,3523.0,1785.0
2006-09-26 00:00:00,3572.0,1790.0
2006-09-27 00:00:00,3579.0,1796.0
2006-09-28 00:00:00,3572.0,1804.0
2006-09-29 00:00:00,3588.0,1820.0
2006-10-03 00:00:00,3570.0,1831.0
2006-10-04 00:00:00,3515.0,1819.0
2006-10-05 00:00:00,3565.0,1849.0
2006-10-06 00:00:00,3570.0,1862.0
2006-10-09 00:00:00,3567.0,1882.0
2006-10-10 00:00:00,3571.0,1887.0
2006-10-11 00:00:00,3559.0,1867.0
2006-10-12 00:00:00,3621.0,1879.0
2006-10-13 00:00:00,3676.0,1890.0
2006-10-16 00:00:00,3724.0,1887.0
2006-10-17 00:00:00,3715.0,1877.0
2006-10-18 00:00:00,3711.0,1887.0
2006-10-19 00:00:00,3678.0,1886.0
2006-10-20 00:00:00,3677.0,1895.0
2006-10-21 00:00:00,3684.0,1919.0
2006-10-23 00:00:00,3657.0,1907.0
2006-10-26 00:00:00,3678.0,1915.0
2006-10-27 00:00:00,3739.0,1920.0
2006-10-30 00:00:00,3769.0,1916.0
2006-10-31 00:00:00,3744.0,1900.0
2006-11-01 00:00:00,3767.0,1916.0
2006-11-02 00:00:00,3791.0,1920.0
2006-11-03 00:00:00,3805.0,1925.0
2006-11-06 00:00:00,3809.0,1941.0
2006-11-07 00:00:00,3799.0,1942.0
2006-11-08 00:00:00,3777.0,1917.0
2006-11-09 00:00:00,3796.0,1935.0
2006-11-10 00:00:00,3835.0,1949.0
2006-11-13 00:00:00,3859.0,1961.0
2006-11-14 00:00:00,3866.0,1943.0
2006-11-15 00:00:00,3876.0,1942.0
2006-11-16 00:00:00,3877.0,1936.0
2006-11-17 00:00:00,3853.0,1904.0
2006-11-20 00:00:00,3856.0,1886.0
2006-11-21 00:00:00,3918.0,1915.0
2006-11-22 00:00:00,3955.0,1925.0
2006-11-23 00:00:00,3945.0,1926.0
2006-11-24 00:00:00,3951.0,1936.0
2006-11-27 00:00:00,3969.0,1943.0
2006-11-28 00:00:00,3922.0,1927.0
2006-11-29 00:00:00,3928.0,1951.0
2006-11-30 00:00:00,3955.0,1954.0
2006-12-01 00:00:00,3998.0,1974.0
2006-12-04 00:00:00,4001.0,1986.0
2006-12-05 00:00:00,4016.0,1990.0
2006-12-06 00:00:00,4016.0,1968.0
2006-12-07 00:00:00,4015.0,1969.0
2006-12-08 00:00:00,3962.0,1957.0
2006-12-11 00:00:00,3850.0,1911.0
2006-12-12 00:00:00,3717.0,1842.0
2006-12-13 00:00:00,3765.0,1870.0
2006-12-14 00:00:00,3843.0,1924.0
2006-12-15 00:00:00,3889.0,1941.0
2006-12-18 00:00:00,3929.0,1941.0
2006-12-19 00:00:00,3832.0,1926.0
2006-12-20 00:00:00,3816.0,1928.0
2006-12-21 00:00:00,3834.0,1938.0
2006-12-22 00:00:00,3871.0,1961.0
2006-12-26 00:00:00,3941.0,1978.0
2006-12-27 00:00:00,3974.0,1991.0
2006-12-28 00:00:00,3971.0,2000.0
2006-12-29 00:00:00,3966.0,2015.0
2007-01-02 00:00:00,4007.0,2045.0
2007-01-03 00:00:00,4024.0,2070.0
2007-01-04 00:00:00,3989.0,2084.0
2007-01-05 00:00:00,3983.0,2096.0
2007-01-08 00:00:00,3933.0,2103.0
2007-01-09 00:00:00,3911.0,2091.0
2007-01-10 00:00:00,3850.0,2073.0
2007-01-11 00:00:00,3942.0,2105.0
2007-01-12 00:00:00,4052.0,2131.0
2007-01-15 00:00:00,4078.0,2162.0
2007-01-16 00:00:00,4081.0,2171.0
2007-01-17 00:00:00,4076.0,2190.0
2007-01-18 00:00:00,4109.0,2195.0
2007-01-19 00:00:00,4090.0,2185.0
2007-01-22 00:00:00,4102.0,2193.0
2007-01-23 00:00:00,4066.0,2168.0
2007-01-24 00:00:00,4090.0,2174.0
2007-01-25 00:00:00,4148.0,2185.0
2007-01-29 00:00:00,4124.0,2184.0
2007-01-31 00:00:00,4083.0,2162.0
2007-02-01 00:00:00,4137.0,2169.0
2007-02-02 00:00:00,4184.0,2181.0
2007-02-05 00:00:00,4215.0,2209.0
2007-02-06 00:00:00,4196.0,2214.0
2007-02-07 00:00:00,4224.0,2223.0
2007-02-08 00:00:00,4223.0,2216.0
2007-02-09 00:00:00,4187.0,2178.0
2007-02-12 00:00:00,4058.0,2086.0
2007-02-13 00:00:00,4045.0,2082.0
2007-02-14 00:00:00,4047.0,2090.0
2007-02-15 00:00:00,4146.0,2148.0
2007-02-19 00:00:00,4165.0,2154.0
2007-02-20 00:00:00,4107.0,2131.0
2007-02-21 00:00:00,4096.0,2133.0
2007-02-22 00:00:00,4040.0,2115.0
2007-02-23 00:00:00,3939.0,2053.0
2007-02-26 00:00:00,3942.0,2059.0
2007-02-27 00:00:00,3894.0,2065.0
2007-02-28 00:00:00,3745.0,2003.0
2007-03-01 00:00:00,3811.0,2007.0
2007-03-02 00:00:00,3727.0,1989.0
2007-03-05 00:00:00,3577.0,1885.0
2007-03-06 00:00:00,3656.0,1889.0
2007-03-07 00:00:00,3627.0,1847.0
2007-03-08 00:00:00,3762.0,1890.0
2007-03-09 00:00:00,3718.0,1889.0
2007-03-12 00:00:00,3735.0,1905.0
2007-03-13 00:00:00,3771.0,1937.0
2007-03-14 00:00:00,3641.0,1899.0
2007-03-15 00:00:00,3644.0,1911.0
2007-03-16 00:00:00,3609.0,1891.0
2007-03-19 00:00:00,3679.0,1906.0
2007-03-20 00:00:00,3698.0,1915.0
2007-03-21 00:00:00,3765.0,1923.0
2007-03-22 00:00:00,3876.0,1939.0
2007-03-23 00:00:00,3861.0,1939.0
2007-03-26 00:00:00,3820.0,1934.0
2007-03-28 00:00:00,3761.0,1907.0
2007-03-29 00:00:00,3798.0,1917.0
2007-03-30 00:00:00,3822.0,1938.0
2007-04-02 00:00:00,3634.0,1883.0
2007-04-03 00:00:00,3691.0,1891.0
2007-04-04 00:00:00,3733.0,1909.0
2007-04-05 00:00:00,3752.0,1928.0
2007-04-09 00:00:00,3844.0,1967.0
2007-04-10 00:00:00,3848.0,1996.0
2007-04-11 00:00:00,3863.0,2016.0
2007-04-12 00:00:00,3830.0,2014.0
2007-04-13 00:00:00,3917.0,2041.0
2007-04-16 00:00:00,4013.0,2074.0
2007-04-17 00:00:00,3985.0,2058.0
2007-04-18 00:00:00,4012.0,2071.0
2007-04-19 00:00:00,3998.0,2069.0
2007-04-20 00:00:00,4084.0,2090.0
2007-04-23 00:00:00,4085.0,2088.0
2007-04-24 00:00:00,4142.0,2093.0
2007-04-25 00:00:00,4167.0,2113.0
2007-04-26 00:00:00,4178.0,2100.0
2007-04-27 00:00:00,4084.0,2074.0
2007-04-30 00:00:00,4088.0,2094.0
2007-05-03 00:00:00,4151.0,2111.0
2007-05-04 00:00:00,4117.0,2104.0
2007-05-07 00:00:00,4111.0,2103.0
2007-05-08 00:00:00,4077.0,2086.0
2007-05-09 00:00:00,4079.0,2087.0
2007-05-10 00:00:00,4067.0,2090.0
2007-05-11 00:00:00,4077.0,2104.0
2007-05-14 00:00:00,4134.0,2137.0
2007-05-15 00:00:00,4120.0,2147.0
2007-05-16 00:00:00,4171.0,2172.0
2007-05-17 00:00:00,4220.0,2185.0
2007-05-18 00:00:00,4215.0,2187.0
2007-05-21 00:00:00,4261.0,2204.0
2007-05-22 00:00:00,4278.0,2200.0
2007-05-23 00:00:00,4246.0,2188.0
2007-05-24 00:00:00,4205.0,2184.0
2007-05-25 00:00:00,4248.0,2197.0
2007-05-28 00:00:00,4257.0,2222.0
2007-05-29 00:00:00,4293.0,2244.0
2007-05-30 00:00:00,4250.0,2224.0
2007-05-31 00:00:00,4296.0,2242.0
2007-06-01 00:00:00,4297.0,2260.0
2007-06-04 00:00:00,4267.0,2252.0
2007-06-05 00:00:00,4285.0,2258.0
2007-06-06 00:00:00,4198.0,2233.0
2007-06-07 00:00:00,4180.0,2237.0
2007-06-08 00:00:00,4145.0,2224.0
2007-06-11 00:00:00,4146.0,2216.0
2007-06-12 00:00:00,4155.0,2198.0
2007-06-13 00:00:00,4113.0,2194.0
2007-06-14 00:00:00,4170.0,2224.0
2007-06-15 00:00:00,4171.0,2237.0
2007-06-18 00:00:00,4147.0,2228.0
2007-06-19 00:00:00,4214.0,2247.0
2007-06-20 00:00:00,4249.0,2272.0
2007-06-21 00:00:00,4267.0,2286.0
2007-06-22 00:00:00,4252.0,2291.0
2007-06-25 00:00:00,4259.0,2296.0
2007-06-26 00:00:00,4286.0,2315.0
2007-06-27 00:00:00,4264.0,2320.0
2007-06-28 00:00:00,4282.0,2328.0
2007-06-29 00:00:00,4318.0,2347.0
2007-07-02 00:00:00,4314.0,2367.0
2007-07-03 00:00:00,4358.0,2388.0
2007-07-04 00:00:00,4359.0,2381.0
2007-07-05 00:00:00,4354.0,2359.0
2007-07-06 00:00:00,4385.0,2374.0
2007-07-09 00:00:00,4419.0,2397.0
2007-07-10 00:00:00,4406.0,2400.0
2007-07-11 00:00:00,4387.0,2416.0
2007-07-12 00:00:00,4446.0,2442.0
2007-07-13 00:00:00,4505.0,2441.0
2007-07-16 00:00:00,4512.0,2457.0
2007-07-17 00:00:00,4497.0,2433.0
2007-07-18 00:00:00,4500.0,2423.0
2007-07-19 00:00:00,4562.0,2445.0
2007-07-20 00:00:00,4566.0,2443.0
2007-07-23 00:00:00,4619.0,2442.0
2007-07-24 00:00:00,4621.0,2421.0
2007-07-25 00:00:00,4589.0,2406.0
2007-07-26 00:00:00,4620.0,2427.0
2007-07-27 00:00:00,4445.0,2365.0
2007-07-30 00:00:00,4440.0,2366.0
2007-07-31 00:00:00,4529.0,2405.0
2007-08-01 00:00:00,4346.0,2316.0
2007-08-02 00:00:00,4356.0,2331.0
2007-08-03 00:00:00,4402.0,2363.0
2007-08-06 00:00:00,4340.0,2342.0
2007-08-07 00:00:00,4356.0,2360.0
2007-08-08 00:00:00,4462.0,2393.0
2007-08-09 00:00:00,4403.0,2358.0
2007-08-10 00:00:00,4333.0,2345.0
2007-08-13 00:00:00,4374.0,2371.0
2007-08-14 00:00:00,4370.0,2374.0
2007-08-16 00:00:00,4179.0,2304.0
2007-08-17 00:00:00,4108.0,2275.0
2007-08-20 00:00:00,4209.0,2312.0
2007-08-21 00:00:00,4075.0,2235.0
2007-08-22 00:00:00,4153.0,2239.0
2007-08-23 00:00:00,4115.0,2213.0
2007-08-24 00:00:00,4190.0,2247.0
2007-08-27 00:00:00,4303.0,2300.0
2007-08-28 00:00:00,4321.0,2317.0
2007-08-29 00:00:00,4359.0,2334.0
